Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2021-08-12,10.71,10.71,9.61,9.7,9.7,88400,Tron
2021-08-13,9.7,9.9,9.63,9.63,9.63,72700,Tron
2021-08-16,9.7,9.7,9.69,9.7,9.7,10900,Tron
2021-08-17,9.7,9.7,9.7,9.7,9.7,0,Tron
2021-08-18,9.763,9.763,9.72,9.72,9.72,19000,Tron
2021-08-19,9.8,9.8,9.8,9.8,9.8,100,Tron
2021-08-20,9.84,9.84,9.75,9.75,9.75,11300,Tron
2021-08-23,9.76,9.76,9.75,9.76,9.76,2300,Tron
2021-08-24,9.77,9.77,9.72,9.77,9.77,299700,Tron
2021-08-25,9.77,9.77,9.77,9.77,9.77,700,Tron
2021-08-26,9.77,9.83,9.77,9.77,9.77,122100,Tron
2021-08-27,9.799,9.799,9.799,9.799,9.799,200,Tron
2021-08-30,9.84,9.84,9.77,9.78,9.78,9200,Tron
2021-08-31,9.77,9.78,9.69,9.78,9.78,900,Tron
2021-09-01,9.78,9.8,9.78,9.8,9.8,6000,Tron
2021-09-02,10.05,10.05,9.79,9.8,9.8,500,Tron
2021-09-03,9.834,9.94,9.834,9.94,9.94,300,Tron
2021-09-07,9.94,9.94,9.94,9.94,9.94,0,Tron
2021-09-08,9.94,9.94,9.94,9.94,9.94,500,Tron
2021-09-09,9.94,9.94,9.94,9.94,9.94,0,Tron
2021-09-10,9.91,9.91,9.887,9.887,9.887,103500,Tron
2021-09-13,9.887,9.887,9.887,9.887,9.887,0,Tron
2021-09-14,9.887,9.887,9.887,9.887,9.887,0,Tron
2021-09-15,10.09,10.09,9.8,9.875,9.875,1400,Tron
2021-09-16,9.875,9.875,9.875,9.875,9.875,0,Tron
2021-09-17,9.8,9.81,9.8,9.8,9.8,3800,Tron
2021-09-20,9.81,9.81,9.8,9.8,9.8,1800,Tron
2021-09-21,9.8,9.8,9.8,9.8,9.8,0,Tron
2021-09-22,9.85,9.85,9.85,9.85,9.85,200,Tron
2021-09-23,9.85,9.85,9.85,9.85,9.85,2300,Tron
2021-09-24,9.89,9.89,9.85,9.85,9.85,2000,Tron
2021-09-27,9.9,9.9,9.85,9.85,9.85,20400,Tron
2021-09-28,9.9,9.9,9.85,9.85,9.85,900,Tron
2021-09-29,9.85,9.85,9.85,9.85,9.85,2900,Tron
2021-09-30,9.92,9.92,9.87,9.87,9.87,1100,Tron
2021-10-01,9.87,9.87,9.87,9.87,9.87,0,Tron
2021-10-04,10.7,10.74,9.83,9.85,9.85,34100,Tron
2021-10-05,9.89,9.89,9.85,9.86,9.86,5800,Tron
2021-10-06,9.86,9.86,9.86,9.86,9.86,0,Tron
2021-10-07,9.88,9.88,9.88,9.88,9.88,1000,Tron
2021-10-08,9.88,9.88,9.88,9.88,9.88,0,Tron
2021-10-11,9.88,9.88,9.88,9.88,9.88,0,Tron
2021-10-12,9.87,9.87,9.87,9.87,9.87,200,Tron
2021-10-13,9.87,9.87,9.87,9.87,9.87,0,Tron
2021-10-14,9.88,9.88,9.87,9.87,9.87,4200,Tron
2021-10-15,9.92,9.92,9.92,9.92,9.92,200,Tron
2021-10-18,9.87,9.87,9.86,9.86,9.86,8300,Tron
2021-10-19,9.85,9.85,9.85,9.85,9.85,1500,Tron
2021-10-20,9.85,9.87,9.84,9.84,9.84,2020400,Tron
2021-10-21,9.89,9.91,9.88,9.89,9.89,1200,Tron
2021-10-22,9.9,9.92,9.85,9.88,9.88,9100,Tron
2021-10-25,9.89,9.89,9.88,9.88,9.88,500,Tron
2021-10-26,9.88,9.88,9.88,9.88,9.88,0,Tron
2021-10-27,9.9,9.9,9.9,9.9,9.9,200,Tron
2021-10-28,9.88,9.88,9.88,9.88,9.88,100,Tron
2021-10-29,10.49,10.49,9.73,9.73,9.73,1500,Tron
2021-11-01,9.82,9.88,9.82,9.88,9.88,600,Tron
2021-11-02,9.89,9.89,9.89,9.89,9.89,400,Tron
2021-11-03,9.86,9.885,9.86,9.86,9.86,4400,Tron
2021-11-04,9.89,9.89,9.89,9.89,9.89,500,Tron
2021-11-05,9.89,9.89,9.89,9.89,9.89,100,Tron
2021-11-08,9.89,9.89,9.89,9.89,9.89,0,Tron
2021-11-09,9.89,9.89,9.89,9.89,9.89,0,Tron
2021-11-10,9.87,9.87,9.87,9.87,9.87,500,Tron
2021-11-11,9.87,9.87,9.87,9.87,9.87,0,Tron
2021-11-12,9.87,9.87,9.87,9.87,9.87,0,Tron
2021-11-15,9.87,9.87,9.87,9.87,9.87,0,Tron
2021-11-16,9.88,9.9,9.88,9.9,9.9,212100,Tron
2021-11-17,9.86,11.42,9.86,9.9,9.9,13100,Tron
2021-11-18,9.885,9.885,9.885,9.885,9.885,200,Tron
2021-11-19,9.87,9.9,9.87,9.9,9.9,2500,Tron
2021-11-22,9.9,9.9,9.9,9.9,9.9,0,Tron
2021-11-23,9.86,9.86,9.86,9.86,9.86,2200,Tron
2021-11-24,9.87,9.89,9.86,9.86,9.86,149300,Tron
2021-11-26,9.86,9.86,9.86,9.86,9.86,3600,Tron
2021-11-29,9.86,9.87,9.86,9.86,9.86,500,Tron
2021-11-30,9.86,9.86,9.86,9.86,9.86,0,Tron
2021-12-01,9.86,9.86,9.86,9.86,9.86,0,Tron
2021-12-02,9.86,9.86,9.86,9.86,9.86,0,Tron
2021-12-03,9.86,9.86,9.86,9.86,9.86,0,Tron
2021-12-06,10.07,10.07,10.07,10.07,10.07,300,Tron
2021-12-07,10.02,10.02,9.86,9.86,9.86,2100,Tron
2021-12-08,9.88,9.89,9.88,9.89,9.89,900,Tron
2021-12-09,9.86,9.88,9.86,9.88,9.88,2100,Tron
2021-12-10,9.88,9.88,9.88,9.88,9.88,2400,Tron
2021-12-13,9.86,9.88,9.85,9.88,9.88,400500,Tron
2021-12-14,9.88,9.88,9.88,9.88,9.88,7000,Tron
2021-12-15,9.78,9.84,9.78,9.84,9.84,2100,Tron
2021-12-16,9.84,9.84,9.84,9.84,9.84,0,Tron
2021-12-17,9.87,9.87,9.85,9.85,9.85,2400,Tron
2021-12-20,9.82,9.86,9.82,9.86,9.86,1500,Tron
2021-12-21,9.86,9.86,9.86,9.86,9.86,0,Tron
2021-12-22,9.86,9.86,9.86,9.86,9.86,35100,Tron
2021-12-23,9.87,9.9,9.87,9.9,9.9,5500,Tron
2021-12-27,9.9,9.9,9.88,9.88,9.88,1100,Tron
2021-12-28,9.9,9.9,9.9,9.9,9.9,100,Tron
2021-12-29,9.9,9.9,9.9,9.9,9.9,0,Tron
2021-12-30,9.86,9.88,9.86,9.88,9.88,800,Tron
2021-12-31,9.88,9.88,9.88,9.88,9.88,0,Tron
2022-01-03,9.88,9.88,9.88,9.88,9.88,0,Tron
2022-01-04,9.88,9.88,9.88,9.88,9.88,0,Tron
2022-01-05,9.88,9.88,9.88,9.88,9.88,5200,Tron
2022-01-06,9.88,9.88,9.88,9.88,9.88,0,Tron
2022-01-07,9.9,9.93,9.9,9.93,9.93,2200,Tron
2022-01-10,9.93,9.93,9.93,9.93,9.93,0,Tron
2022-01-11,9.93,9.93,9.93,9.93,9.93,0,Tron
2022-01-12,9.88,9.88,9.88,9.88,9.88,100,Tron
2022-01-13,9.89,9.89,9.89,9.89,9.89,5200,Tron
2022-01-14,9.78,9.89,9.78,9.89,9.89,200400,Tron
2022-01-18,9.89,9.89,9.89,9.89,9.89,0,Tron
2022-01-19,9.89,9.955,9.88,9.89,9.89,218100,Tron
2022-01-20,9.9,9.91,9.88,9.895,9.895,98000,Tron
2022-01-21,9.89,9.95,9.88,9.88,9.88,194500,Tron
2022-01-24,9.87,9.895,9.87,9.895,9.895,53900,Tron
2022-01-25,9.87,9.87,9.87,9.87,9.87,4300,Tron
2022-01-26,9.88,9.89,9.88,9.88,9.88,12700,Tron
2022-01-27,9.89,9.895,9.87,9.895,9.895,900,Tron
2022-01-28,9.88,9.88,9.88,9.88,9.88,100,Tron
2022-01-31,9.89,9.925,9.89,9.925,9.925,7100,Tron
2022-02-01,9.925,9.925,9.925,9.925,9.925,0,Tron
2022-02-02,9.9,9.901,9.9,9.901,9.901,2200,Tron
2022-02-03,9.88,9.95,9.88,9.95,9.95,200,Tron
2022-02-04,9.92,9.92,9.905,9.905,9.905,400,Tron
2022-02-07,9.91,9.91,9.91,9.91,9.91,300,Tron
2022-02-08,9.9,9.91,9.9,9.91,9.91,84200,Tron
2022-02-09,9.91,9.91,9.91,9.91,9.91,10200,Tron
2022-02-10,9.92,9.94,9.91,9.91,9.91,1100,Tron
2022-02-11,9.92,9.92,9.91,9.911,9.911,300,Tron
2022-02-14,9.91,9.91,9.91,9.91,9.91,2100,Tron
